endpoint_name,model_name,prompt_text,prompt_length,prompt_complexity,prompt_category,success,error_message,total_latency,time_to_first_token,input_tokens,output_tokens,total_tokens,tokens_per_second,time_per_output_token,avg_inter_token_latency,min_inter_token_latency,max_inter_token_latency,p50_inter_token_latency,p95_inter_token_latency,p99_inter_token_latency,response_text,timestamp,iteration,concurrent_level
qwen-ollama,qwen2.5:7b-instruct-fp16,What is the capital of France?,short,simple,factual_qa,True,,4.856716871261597,3.8005177974700928,7,7,14,1.4413028771392344,0.6938166958945138,0.1507562796274821,0.14676189422607422,0.1585526466369629,0.15053319931030273,0.1585526466369629,0.1585526466369629,The capital of France is Paris.,2025-11-28T15:18:05.997000,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a haiku about the ocean.,short,simple,creative_writing,True,,6.270661115646362,2.7953262329101562,7,17,24,2.7110379091579544,0.36886241856743307,0.20754510164260864,0.11490130424499512,0.8277673721313477,0.1524827480316162,0.8277673721313477,0.8277673721313477,"Whispers of the sea,
Waves kiss the sandy shores,
Eternal embrace.",2025-11-28T15:18:07.411356,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,"Translate 'Hello, how are you?' to Spanish.",short,simple,translation,True,,14.013455152511597,2.777937650680542,10,63,73,4.495679282115423,0.22243579607161265,0.17859198970179405,0.12081670761108398,0.8279662132263184,0.1555781364440918,0.20893597602844238,0.8279662132263184,"The translation of ""Hello, how are you?"" into Spanish is:

""Hola, ¿cómo estás?"" 

Note that the formal way would be ""¿Cómo está?"" but ""cómo estás?"" is more commonly used in informal settings when talk...",2025-11-28T15:18:15.154268,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,List three benefits of exercise.,short,simple,general_knowledge,True,,37.75464653968811,2.8270552158355713,8,208,216,5.509255656289831,0.18151272374850053,0.16795743951474987,0.10360503196716309,0.8282651901245117,0.15942120552062988,0.1955101490020752,0.23652100563049316,"Certainly! Here are three key benefits of regular exercise:

1. **Improved Physical Health**: Regular physical activity can help maintain or improve cardiovascular health, strengthen muscles and bones...",2025-11-28T15:18:38.895633,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Explain the difference between machine learning and deep learning in simple terms.,short,moderate,technical_explanation,True,,85.68865585327148,2.797973871231079,20,461,481,5.379942016938519,0.18587560922618543,0.17976474813793017,0.11377310752868652,0.8279848098754883,0.1666860580444336,0.23023104667663574,0.2588188648223877,"Sure! Here's a simple explanation of the main differences between machine learning and deep learning:

### Machine Learning (ML)
- **Basic Concept**: Machine learning involves training algorithms to m...",2025-11-28T15:19:26.829804,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a persuasive paragraph about why renewable energy is important.,short,moderate,persuasive_writing,True,,25.747987270355225,2.8095157146453857,17,135,152,5.243128271833168,0.19072583163226092,0.17000710074581318,0.10952377319335938,0.8281598091125488,0.1593778133392334,0.19875168800354004,0.3014192581176758,"Renewable energy is crucial for our planet's future and the well-being of current and future generations. Transitioning to clean, sustainable sources like solar, wind, and hydroelectric power not only...",2025-11-28T15:18:26.889094,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,"Summarize the following text in 2-3 sentences:
            
The Internet of Things (IoT) refers to t...",medium,simple,summarization,True,,12.249276161193848,2.7835946083068848,111,53,164,4.326786277209255,0.23111841813573297,0.17908616249377912,0.11899542808532715,0.8277225494384766,0.15491056442260742,0.23273515701293945,0.8277225494384766,"The Internet of Things (IoT) involves billions of physical devices connected to the internet, sharing data, ranging from household items to advanced industrial tools. The widespread availability of in...",2025-11-28T15:18:13.390431,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,"Given the following ingredients, suggest a simple recipe: chicken breast, bell peppers, onions, garl...",medium,simple,instruction_following,True,,90.71828508377075,3.7752506732940674,38,483,521,5.324174719065621,0.18782253640532245,0.17995136555794364,0.13456010818481445,0.3004646301269531,0.17925429344177246,0.22913146018981934,0.25144124031066895,"Certainly! A quick and tasty meal you can make with those ingredients is Chicken Breast Stir-Fry with Bell Peppers and Onions. Here are the ingredients and detailed steps:

### Ingredients:
- 2 chicke...",2025-11-28T15:19:31.859770,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Analyze the pros and cons of remote work for both employees and employers. Consider at least 3 point...,medium,moderate,analysis,True,,168.65474772453308,2.8466477394104004,30,847,877,5.022094020047516,0.1991201271836282,0.19573787650881647,0.09622478485107422,0.8286652565002441,0.20397377014160156,0.2393970489501953,0.26276683807373047,Certainly! Remote work has become increasingly popular over recent years due to advancements in technology and changing workplace dynamics. Here’s an analysis of the pros and cons from both employee a...,2025-11-28T15:20:49.796488,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a function in Python that takes a list of integers and returns the second largest number. Incl...,medium,moderate,coding,True,,95.89482688903809,2.7859206199645996,45,510,555,5.318326509834901,0.18802907233144722,0.18253415413127666,0.11795759201049805,0.8278830051422119,0.1829831600189209,0.23026561737060547,0.2531564235687256,"Certainly! Below is a Python function that accomplishes this task, including proper error handling for various edge cases:

```python
def find_second_largest(numbers):
    # Check if the input is not ...",2025-11-28T15:19:37.036508,0,50
