endpoint_name,model_name,prompt_text,prompt_length,prompt_complexity,prompt_category,success,error_message,total_latency,time_to_first_token,input_tokens,output_tokens,total_tokens,tokens_per_second,time_per_output_token,avg_inter_token_latency,min_inter_token_latency,max_inter_token_latency,p50_inter_token_latency,p95_inter_token_latency,p99_inter_token_latency,response_text,timestamp,iteration,concurrent_level
llama-ollama,llama3.1:8b-instruct-fp16,What is the capital of France?,short,simple,factual_qa,True,,8.407493591308594,7.804926872253418,7,7,14,0.8325905840994494,1.2010705130440849,0.08590543270111084,0.08391833305358887,0.0881502628326416,0.08692693710327148,0.0881502628326416,0.0881502628326416,The capital of France is Paris.,2025-11-28T11:56:24.238681,0,25
llama-ollama,llama3.1:8b-instruct-fp16,Write a haiku about the ocean.,short,simple,creative_writing,True,,10.175198316574097,7.766635894775391,7,24,31,2.358676386769491,0.4239665965239207,0.09932074339493462,0.07909393310546875,0.15015006065368652,0.08707571029663086,0.14109301567077637,0.15015006065368652,"Here is a haiku about the ocean:

Crashing waves below
Deep blue mystery abides
Ocean's gentle roar",2025-11-28T11:56:26.006740,0,25
llama-ollama,llama3.1:8b-instruct-fp16,"Translate 'Hello, how are you?' to Spanish.",short,simple,translation,True,,15.297276735305786,7.784651279449463,10,77,87,5.03357567051694,0.19866593162734786,0.09734065281717401,0.07974839210510254,0.15434956550598145,0.08907008171081543,0.1360177993774414,0.15434956550598145,"The translation of ""Hello, how are you?"" in Spanish is:

""Hola, ¿cómo estás?""

(Note: The question mark at the end indicates that it's a question)

Alternatively, if you want to use a more casual or i...",2025-11-28T11:56:31.128956,0,25
llama-ollama,llama3.1:8b-instruct-fp16,List three benefits of exercise.,short,simple,general_knowledge,True,,27.34830355644226,7.7638609409332275,8,204,212,7.459329225996727,0.13406031155118756,0.09601771068103208,0.07814240455627441,0.1566629409790039,0.09077572822570801,0.12392520904541016,0.14983534812927246,"Here are three benefits of regular exercise:

1. **Weight Management and Improved Body Composition**: Regular exercise helps burn calories, builds muscle mass, and boosts metabolism, leading to weight...",2025-11-28T11:56:43.180125,0,25
llama-ollama,llama3.1:8b-instruct-fp16,Explain the difference between machine learning and deep learning in simple terms.,short,moderate,technical_explanation,True,,51.15272808074951,7.775286436080933,20,463,483,9.051325654989698,0.11048105417008534,0.09371041374289112,0.0768580436706543,0.15700984001159668,0.08994555473327637,0.12184786796569824,0.1468062400817871,"Machine Learning (ML) and Deep Learning (DL) are both subfields of Artificial Intelligence (AI), but they differ in their approach, complexity, and application.

**Machine Learning**

Imagine you're t...",2025-11-28T11:57:06.984760,0,25
llama-ollama,llama3.1:8b-instruct-fp16,Write a persuasive paragraph about why renewable energy is important.,short,moderate,persuasive_writing,True,,25.50031805038452,6.893808364868164,17,188,205,7.372457066164519,0.1356399896297049,0.09897024108764323,0.034804344177246094,0.8263239860534668,0.0903937816619873,0.12298345565795898,0.15656280517578125,"As the world grapples with the challenges of climate change, environmental degradation, and economic inequality, the transition to renewable energy has never been more crucial. Renewable energy source...",2025-11-28T11:56:41.332314,0,25
llama-ollama,llama3.1:8b-instruct-fp16,"Summarize the following text in 2-3 sentences:
            
The Internet of Things (IoT) refers to t...",medium,simple,summarization,True,,13.613708257675171,7.78900146484375,111,60,171,4.407322300753217,0.22689513762791952,0.0972352795681711,0.08246111869812012,0.15189599990844727,0.08907651901245117,0.1364743709564209,0.15189599990844727,"Here is a 2-3 sentence summary:

The Internet of Things (IoT) refers to the vast network of physical devices connected to the internet that collect and share data. These devices range from everyday ho...",2025-11-28T11:56:29.445717,0,25
llama-ollama,llama3.1:8b-instruct-fp16,"Given the following ingredients, suggest a simple recipe: chicken breast, bell peppers, onions, garl...",medium,simple,instruction_following,True,,55.010831356048584,7.781787633895874,38,504,542,9.161832089719617,0.10914847491279481,0.09367426631464873,0.07584857940673828,0.15715289115905762,0.0895986557006836,0.1218254566192627,0.14646410942077637,"What a great combination of ingredients! Here's a simple and delicious recipe for you:

**Grilled Chicken Breast with Roasted Bell Peppers and Onions**

 Servings: 1-2 people

**Cooking Time:** Approx...",2025-11-28T11:57:10.843144,0,25
llama-ollama,llama3.1:8b-instruct-fp16,Analyze the pros and cons of remote work for both employees and employers. Consider at least 3 point...,medium,moderate,analysis,True,,63.58377528190613,7.770452260971069,30,598,628,9.404914970032793,0.10632738341455875,0.09334313769636042,0.07126402854919434,0.1859724521636963,0.08920645713806152,0.12180542945861816,0.14719200134277344,"Here's an analysis of the pros and cons of remote work from both employee and employer perspectives:

**Employee Pros:**

1. **Flexibility and autonomy**: Remote workers have more control over their s...",2025-11-28T11:57:19.416287,0,25
llama-ollama,llama3.1:8b-instruct-fp16,Write a function in Python that takes a list of integers and returns the second largest number. Incl...,medium,moderate,coding,True,,48.764416217803955,7.79741644859314,45,437,482,8.961452507667891,0.11158905312998617,0.09370230917536884,0.07519721984863281,0.18160748481750488,0.08994388580322266,0.1222996711730957,0.14628911018371582,"**Second Largest Function**
==========================

Here is a well-documented and readable function in Python that meets your requirements:
```python
def second_largest(numbers):
    """"""
    Retur...",2025-11-28T11:57:04.596910,0,25
